Date,DZD,ARS,AUD,BDT,BRL,KHR,CAD,CLP,CNY,TWD,COP,EUR,CZK,DKK,HKD,HUF,ISK,INR,IDR,ILS,JPY,KRW,MYR,MXN,NZD,NOK,PEN,PHP,PKR,PLN,RON,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TRY,AED,GBP,USD,VEF,VND
2019-05-19,100.0,100.0,100.0,99.68192343249164,100.0,101.97430091962849,100.0,100.0,100.0,100.0,99.71679230679558,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.45345801548346,100.0,100.0,100.0,99.4898334456126
2019-05-20,83.35873651498477,12.232330693570406,83.57091164432123,101.6929712225918,58.8750093596792,113.65128557798039,80.9001469246492,92.76712253479896,115.96883781706487,100.0,70.58585233357002,102.46275984897484,100.61563140584929,103.83709817993527,105.60250575847034,87.6471358147093,121.13194597249732,75.79884423414941,71.68860761927574,123.15910335777158,88.75198470960592,111.41726270194674,86.16861017950058,69.71164572352177,103.00209987141942,83.32547128004268,103.01192157192001,94.8524615938705,100.0,97.36920571623186,95.78606823342281,57.73769464362587,117.10050935556025,113.15609221572993,60.313116358413744,91.78681351700988,121.28702954044579,114.60827721393802,30.645831665272556,120.31117644422385,98.64326071129084,124.27880227655797,100.0,92.11349954038886
2019-05-21,83.5936021093461,13.106022554723374,83.15545902072719,101.60307130208848,59.65475350458554,113.75256122178288,81.04110269280864,100.0,115.88374622899586,100.0,70.42714741207354,102.46760470745208,100.60001923036823,103.84215503029328,105.5858190277513,87.45662623000894,121.10050040563722,75.80002954015885,71.71987793576274,122.26894660055746,88.23803269506554,111.31158434907454,86.17957462981533,69.86049439635238,102.63551819174361,83.38390442851666,102.32819845348583,95.23694572930947,100.0,97.1568598558883,95.74168717683165,57.809236226829476,117.18596265678923,113.03885788707562,60.12044403019643,91.72212630536485,121.16646666854285,114.40021944064162,30.570503857494842,120.4225224257221,98.65805385602565,124.00279355336482,100.0,92.21685176920752
2019-05-22,83.32330364036771,12.25489670702418,83.21195700078412,101.42432773313641,59.50540141738718,113.60806736359103,81.16923754477953,92.5595856792522,116.21145559930095,100.0,69.87669492661168,102.510478249456,100.55822670798659,103.86239010866045,105.53045644654644,87.47394239564476,120.46436560453925,75.76329919983526,71.472331183297,121.86766190587053,88.31483756881669,111.77534091523673,86.16517086288637,70.05992973349413,102.50568403989035,83.73846151015225,102.6688910650582,95.3579620774483,100.0,97.23841142382342,95.81487651847056,58.00540676619662,117.12181958620664,112.98712928519711,60.303104118618855,91.85979518511405,121.50644433172599,114.31106414369611,30.299549589239827,120.3911786552062,97.9148858432879,124.1201964117706,100.0,92.07682984643333
2019-05-23,83.56548399943968,12.256055032153377,83.18440223936669,101.66606105946092,59.394605810129555,113.73576692543614,80.71659725784876,92.77350203609745,116.0930088282006,100.0,70.0488044731372,102.46941625298847,100.43733991159391,103.79229504891319,105.73420449317483,87.36071870740822,120.78886488990908,75.58651583994529,71.78855378202792,121.9578566284081,88.71019824015245,111.74596178986467,86.06676804788927,70.06280473824485,102.44858502840286,83.72428604672898,102.7321957114359,95.34585838401462,100.0,97.18152925005491,95.87506809926066,57.73891936652385,117.29222003123527,112.8440410645476,60.07328410479251,92.02694461314978,121.70945037585233,114.22614122731929,30.198408565491906,120.57071481504624,98.0585344397615,124.39574859958029,100.0,92.2701669652342
2019-05-24,83.41038663868586,12.170191034459577,83.26889077702764,101.74438761269613,59.473085535586776,113.48110025764053,80.71462254045613,92.41381821258653,116.09842449957051,100.0,69.36063608720579,102.51994930892306,100.40092441421105,103.81226646287448,105.44827752302734,87.64054473988446,120.86090528656965,75.85366431633562,72.01626632479945,121.92777627953014,88.85805463080663,111.9055579360319,85.9456544594126,69.91185760630701,102.88758484754786,83.75442517422998,102.70931886321371,95.65980657661866,100.0,97.40394137502871,95.82296099187508,57.69930944257137,116.94176324338603,112.95589808892873,59.92227101200166,92.29865938689993,121.9498965894354,114.42974559458969,30.373317328859894,120.17751387280478,97.89536288741184,124.14828945038553,100.0,92.01886608771395
2019-05-25,100.0,100.0,100.0,99.68458732105577,100.0,101.99661109078362,100.0,100.0,100.0,100.0,99.70420137080895,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.45018178171622,100.0,100.0,100.0,99.49077400678445
2019-05-26,100.0,100.0,100.0,99.6845479241318,100.0,101.99690792690946,100.0,100.0,100.0,100.0,99.70416110251118,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.4503606042841,100.0,100.0,100.0,99.49083877203739
2019-05-27,83.25101953348411,12.203675473310769,83.47829028453009,101.78223613660668,59.91275068922902,113.6066659130512,80.7293888530907,92.71448745998435,116.02531662910576,100.0,69.49474529020375,102.52155025848984,100.37653193573081,103.79472722170821,105.37896086005564,87.68971835194608,120.5940672469541,75.81774571727962,72.01017658277064,121.72740918392134,88.91552180323811,112.05582993270373,85.90400448310027,69.87757681044708,102.8873778830495,83.77362171561039,102.475830520383,95.57313685987529,100.0,97.49061676360297,95.83199086082526,57.650231240849756,116.83717289056337,113.06520914056186,59.8048001584788,92.24973612143097,121.50511447640343,114.43207004867845,30.523622028505677,120.0903952234864,98.0174547966718,124.05268524016519,100.0,91.93070506976181
2019-05-28,83.44519374583669,12.263373241669049,83.5466360371053,101.23538132357386,59.398700667360615,113.6530800005112,80.67409418066096,92.64580998972703,115.9600313043141,100.0,69.58788387567454,102.54680582843909,100.36242100067558,103.75781515434738,105.53836892327722,87.4748401424441,120.42137659851446,75.81558373347126,72.1134368794226,121.6308639324478,89.05129601412757,111.85311800628234,85.95089478667683,69.7095760716154,103.0319942970142,84.09816321741008,102.42469489736943,95.5634253642059,100.0,97.47062823769794,95.81920099980606,57.589628241207315,116.96635987886062,112.89407537369705,59.242785512061545,92.47814036156879,121.56738528084574,114.61306477744084,30.602266800809396,120.20314274526444,97.86161384748529,124.24509396268466,100.0,91.81861702359923
